Method,DDM_Variable,EEG_Feature,N,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,Pearson_FDR,Spearman_FDR
Load/NoLoad,Load_a,frontal_abs_delta,184,-0.0159,0.8303416877743571,0.0378,0.6106562460575964,0.9973148814002105,0.7881183259303546
Load/NoLoad,Load_a,frontal_rel_delta,184,-0.0854,0.2490003499111107,-0.1143,0.1224126809538342,0.7428406452961358,0.4458487166251695
Load/NoLoad,Load_a,frontal_abs_theta,184,0.1106,0.13516277716016376,0.1252,0.09032889244019393,0.6686037202624926,0.42972590840215585
Load/NoLoad,Load_a,frontal_rel_theta,184,0.0783,0.2907791930606415,-0.0152,0.8378272369318308,0.7580082829420716,0.8865381227999606
Load/NoLoad,Load_a,frontal_abs_alpha,184,0.0115,0.8768463760658742,0.1128,0.12738534760719128,0.9973148814002105,0.4458487166251695
Load/NoLoad,Load_a,frontal_rel_alpha,184,0.0079,0.9153952490773151,0.0483,0.5147212096182686,0.9973148814002105,0.7462514335621918
Load/NoLoad,Load_a,frontal_abs_beta,184,0.1654,0.024812633383120623,0.1782,0.015514454678938387,0.31505954719880847,0.11265214555841822
Load/NoLoad,Load_a,frontal_rel_beta,184,0.0581,0.4330220923511038,0.0576,0.43764065829552823,0.8876120795896909,0.6835580893755173
Load/NoLoad,Load_a,frontal_abs_gamma,184,0.205,0.0052474528242813364,0.2184,0.0028964690414439247,0.11937955175240039,0.06589467069284928
Load/NoLoad,Load_a,frontal_rel_gamma,184,0.1151,0.11985205673792386,0.0481,0.5166356078507481,0.6686037202624926,0.7462514335621918
Load/NoLoad,Load_a,frontal_theta_beta_ratio,184,0.0013,0.9856758691564618,-0.0377,0.6112208529707905,0.9973148814002105,0.7881183259303546
Load/NoLoad,Load_a,frontal_peak_alpha_freq,184,-0.0238,0.7488764765550349,-0.0079,0.9157039332617636,0.987648686471133,0.9343973655681701
Load/NoLoad,Load_a,frontal_spectral_entropy,184,0.1028,0.16503459196396592,0.1256,0.08922580329887564,0.7207369278284631,0.42972590840215585
Load/NoLoad,Load_a,posterior_abs_delta,184,-0.0182,0.8064709071656492,0.0811,0.2735257267867069,0.9917412507037037,0.5411052421215289
Load/NoLoad,Load_a,posterior_rel_delta,184,-0.0698,0.3467440370169836,-0.1052,0.15523920430294172,0.7696026187450123,0.464675535831205
Load/NoLoad,Load_a,posterior_abs_theta,184,0.073,0.3248606926894592,0.148,0.0450348028525122,0.7580082829420716,0.2927262185413293
Load/NoLoad,Load_a,posterior_rel_theta,184,0.0875,0.23736622064634233,0.0171,0.8174198904615255,0.7428406452961358,0.8865381227999606
Load/NoLoad,Load_a,posterior_abs_alpha,184,-0.0039,0.9582077715474401,0.1001,0.17646032490916735,0.9973148814002105,0.5018090489604446
Load/NoLoad,Load_a,posterior_rel_alpha,184,-0.0108,0.8843570853580246,0.0306,0.6798716663359936,0.9973148814002105,0.8140568636391502
Load/NoLoad,Load_a,posterior_abs_beta,184,0.1233,0.09545361252228413,0.191,0.009395751898169527,0.5910536507707459,0.11265214555841822
Load/NoLoad,Load_a,posterior_rel_beta,184,0.0506,0.49519374047454523,0.0249,0.7370020442604495,0.9142466050280813,0.849831523345759
Load/NoLoad,Load_a,posterior_abs_gamma,184,0.0252,0.7341411273645976,0.1839,0.012447347890961821,0.987648686471133,0.11265214555841822
Load/NoLoad,Load_a,posterior_rel_gamma,184,-0.0283,0.7028614685730555,-0.0443,0.5508586873955053,0.9840060560022778,0.7605706941078764
Load/NoLoad,Load_a,posterior_theta_beta_ratio,184,0.0337,0.6498152537780608,-0.016,0.8297638297638547,0.9454338505413423,0.8865381227999606
Load/NoLoad,Load_a,posterior_peak_alpha_freq,184,-0.0017,0.9816861272245709,0.0056,0.9393730021369877,0.9973148814002105,0.9393730021369877
Load/NoLoad,Load_a,posterior_spectral_entropy,184,0.051,0.4918305039143036,0.0314,0.6719157412248244,0.9142466050280813,0.8140568636391502
Load/NoLoad,Load_a,central_abs_delta,184,0.074,0.3178131813825547,0.0863,0.24429186323841554,0.7580082829420716,0.5411052421215289
Load/NoLoad,Load_a,central_rel_delta,184,-0.0758,0.30620454795091323,-0.0958,0.19581377927388166,0.7580082829420716,0.5091158261120923
Load/NoLoad,Load_a,central_abs_theta,184,0.0916,0.21608246301911035,0.1203,0.10388978005326845,0.7428406452961358,0.42972590840215585
Load/NoLoad,Load_a,central_rel_theta,184,0.01,0.8924762837425836,-0.0453,0.5415760699839297,0.9973148814002105,0.7605706941078764
Load/NoLoad,Load_a,central_abs_alpha,184,0.0345,0.6422314805019762,0.1219,0.09924300279533418,0.9454338505413423,0.42972590840215585
Load/NoLoad,Load_a,central_rel_alpha,184,0.0013,0.9863553772089995,0.0613,0.4082792462905128,0.9973148814002105,0.6612514378680018
Load/NoLoad,Load_a,central_abs_beta,184,0.1948,0.008051255038718296,0.1833,0.012750841625692146,0.14653284170467298,0.11265214555841822
Load/NoLoad,Load_a,central_rel_beta,184,0.0897,0.22575327349193972,0.0824,0.26589762012914997,0.7428406452961358,0.5411052421215289
Load/NoLoad,Load_a,central_abs_gamma,184,0.2377,0.001156736518622735,0.2318,0.0015446663750017329,0.10526302319466888,0.06589467069284928
Load/NoLoad,Load_a,central_rel_gamma,184,0.1226,0.09742642595122185,0.0911,0.21857567977275644,0.5910536507707459,0.5234312331400219
Load/NoLoad,Load_a,central_theta_beta_ratio,184,-0.0869,0.24074114146013478,-0.0829,0.2632501849526361,0.7428406452961358,0.5411052421215289
Load/NoLoad,Load_a,central_peak_alpha_freq,184,-0.0194,0.7940796722369934,-0.0071,0.9241292626498386,0.9917412507037037,0.9343973655681701
Load/NoLoad,Load_a,central_spectral_entropy,184,0.1277,0.08410438215284785,0.1102,0.13635726551736635,0.5910536507707459,0.45957448748445695
Load/NoLoad,Load_a,left_temporal_abs_delta,184,0.0589,0.4273587426023147,0.0748,0.3128645412411519,0.8876120795896909,0.5810341480192821
Load/NoLoad,Load_a,left_temporal_rel_delta,184,-0.0884,0.23289092722134452,-0.1152,0.11932914287003711,0.7428406452961358,0.4458487166251695
Load/NoLoad,Load_a,left_temporal_abs_theta,184,0.0651,0.3799832342445133,0.1216,0.10023160828037839,0.8232970075297787,0.42972590840215585
Load/NoLoad,Load_a,left_temporal_rel_theta,184,-0.0419,0.5726599613912158,-0.0723,0.3294365515173133,0.9142466050280813,0.5995745237615102
Load/NoLoad,Load_a,left_temporal_abs_alpha,184,0.0439,0.5544635576724997,0.1306,0.07724558179183108,0.9142466050280813,0.42972590840215585
Load/NoLoad,Load_a,left_temporal_rel_alpha,184,0.0028,0.9699049528736133,0.0503,0.4975916438795882,0.9973148814002105,0.7423088457875825
Load/NoLoad,Load_a,left_temporal_abs_beta,184,0.2104,0.004147229558443009,0.1913,0.009301265376945804,0.11937955175240039,0.11265214555841822
Load/NoLoad,Load_a,left_temporal_rel_beta,184,0.1123,0.12913928144865458,0.0752,0.3102599741484138,0.6686037202624926,0.5810341480192821
Load/NoLoad,Load_a,left_temporal_abs_gamma,184,0.2219,0.0024670099479845316,0.2209,0.0025783568367817953,0.11224895263329618,0.06589467069284928
Load/NoLoad,Load_a,left_temporal_rel_gamma,184,0.1733,0.018653509005955034,0.0606,0.41419046108215496,0.2829115532569847,0.6612514378680018
Load/NoLoad,Load_a,left_temporal_theta_beta_ratio,184,-0.0906,0.22138789656116217,-0.0754,0.3089692268134009,0.7428406452961358,0.5810341480192821
