Top_N,Scenario,Target,Model,N,R2_CV,MAE_CV,Perm_p,N_Features,Features_Used
8,Load/NoLoad,Load_a,Ridge,184,0.03,0.3359,0.0149,8,left_temporal_abs_gamma; right_temporal_abs_gamma; left_temporal_rel_gamma; prefrontal_abs_beta; right_temporal_abs_beta; central_abs_gamma; occipital_rel_theta; left_temporal_abs_beta
8,Load/NoLoad,Load_a,Lasso,184,0.0136,0.3408,0.0398,8,left_temporal_abs_gamma; right_temporal_abs_gamma; left_temporal_rel_gamma; prefrontal_abs_beta; right_temporal_abs_beta; central_abs_gamma; occipital_rel_theta; left_temporal_abs_beta
8,Load/NoLoad,Load_a,ElasticNet,184,0.0169,0.3393,0.0299,8,left_temporal_abs_gamma; right_temporal_abs_gamma; left_temporal_rel_gamma; prefrontal_abs_beta; right_temporal_abs_beta; central_abs_gamma; occipital_rel_theta; left_temporal_abs_beta
8,Load/NoLoad,Load_a,XGBoost,184,-0.1233,0.3691,1.0,8,left_temporal_abs_gamma; right_temporal_abs_gamma; left_temporal_rel_gamma; prefrontal_abs_beta; right_temporal_abs_beta; central_abs_gamma; occipital_rel_theta; left_temporal_abs_beta
8,Load/NoLoad,Load_a,SVR,184,0.0034,0.3392,0.0348,8,left_temporal_abs_gamma; right_temporal_abs_gamma; left_temporal_rel_gamma; prefrontal_abs_beta; right_temporal_abs_beta; central_abs_gamma; occipital_rel_theta; left_temporal_abs_beta
8,Load/NoLoad,Load_v,Ridge,184,-0.0062,0.6534,1.0,8,central_theta_beta_ratio; right_temporal_spectral_entropy; right_temporal_theta_beta_ratio; right_temporal_rel_beta; right_temporal_rel_gamma; posterior_rel_beta; central_rel_beta; central_rel_gamma
8,Load/NoLoad,Load_v,Lasso,184,-0.0158,0.6523,1.0,8,central_theta_beta_ratio; right_temporal_spectral_entropy; right_temporal_theta_beta_ratio; right_temporal_rel_beta; right_temporal_rel_gamma; posterior_rel_beta; central_rel_beta; central_rel_gamma
8,Load/NoLoad,Load_v,ElasticNet,184,-0.0158,0.6523,1.0,8,central_theta_beta_ratio; right_temporal_spectral_entropy; right_temporal_theta_beta_ratio; right_temporal_rel_beta; right_temporal_rel_gamma; posterior_rel_beta; central_rel_beta; central_rel_gamma
8,Load/NoLoad,Load_v,XGBoost,184,-0.0282,0.6548,1.0,8,central_theta_beta_ratio; right_temporal_spectral_entropy; right_temporal_theta_beta_ratio; right_temporal_rel_beta; right_temporal_rel_gamma; posterior_rel_beta; central_rel_beta; central_rel_gamma
8,Load/NoLoad,Load_v,SVR,184,0.0145,0.6345,0.0398,8,central_theta_beta_ratio; right_temporal_spectral_entropy; right_temporal_theta_beta_ratio; right_temporal_rel_beta; right_temporal_rel_gamma; posterior_rel_beta; central_rel_beta; central_rel_gamma
8,Load/NoLoad,NoLoad_a,Ridge,184,0.0327,0.2326,0.01,8,left_temporal_abs_gamma; right_temporal_abs_gamma; left_temporal_rel_gamma; prefrontal_abs_beta; right_temporal_abs_beta; central_abs_gamma; occipital_rel_theta; left_temporal_abs_beta
8,Load/NoLoad,NoLoad_a,Lasso,184,0.0284,0.2346,0.01,8,left_temporal_abs_gamma; right_temporal_abs_gamma; left_temporal_rel_gamma; prefrontal_abs_beta; right_temporal_abs_beta; central_abs_gamma; occipital_rel_theta; left_temporal_abs_beta
8,Load/NoLoad,NoLoad_a,ElasticNet,184,0.0281,0.2345,0.0149,8,left_temporal_abs_gamma; right_temporal_abs_gamma; left_temporal_rel_gamma; prefrontal_abs_beta; right_temporal_abs_beta; central_abs_gamma; occipital_rel_theta; left_temporal_abs_beta
8,Load/NoLoad,NoLoad_a,XGBoost,184,-0.1182,0.2539,1.0,8,left_temporal_abs_gamma; right_temporal_abs_gamma; left_temporal_rel_gamma; prefrontal_abs_beta; right_temporal_abs_beta; central_abs_gamma; occipital_rel_theta; left_temporal_abs_beta
8,Load/NoLoad,NoLoad_a,SVR,184,0.0053,0.2313,0.0249,8,left_temporal_abs_gamma; right_temporal_abs_gamma; left_temporal_rel_gamma; prefrontal_abs_beta; right_temporal_abs_beta; central_abs_gamma; occipital_rel_theta; left_temporal_abs_beta
8,Load/NoLoad,NoLoad_v,Ridge,184,0.0252,0.6964,0.01,8,central_theta_beta_ratio; right_temporal_spectral_entropy; right_temporal_theta_beta_ratio; right_temporal_rel_beta; right_temporal_rel_gamma; posterior_rel_beta; central_rel_beta; central_rel_gamma
8,Load/NoLoad,NoLoad_v,Lasso,184,0.0402,0.6856,0.01,8,central_theta_beta_ratio; right_temporal_spectral_entropy; right_temporal_theta_beta_ratio; right_temporal_rel_beta; right_temporal_rel_gamma; posterior_rel_beta; central_rel_beta; central_rel_gamma
8,Load/NoLoad,NoLoad_v,ElasticNet,184,0.0394,0.6852,0.01,8,central_theta_beta_ratio; right_temporal_spectral_entropy; right_temporal_theta_beta_ratio; right_temporal_rel_beta; right_temporal_rel_gamma; posterior_rel_beta; central_rel_beta; central_rel_gamma
8,Load/NoLoad,NoLoad_v,XGBoost,184,-0.0253,0.7231,1.0,8,central_theta_beta_ratio; right_temporal_spectral_entropy; right_temporal_theta_beta_ratio; right_temporal_rel_beta; right_temporal_rel_gamma; posterior_rel_beta; central_rel_beta; central_rel_gamma
8,Load/NoLoad,NoLoad_v,SVR,184,0.0203,0.6972,0.0199,8,central_theta_beta_ratio; right_temporal_spectral_entropy; right_temporal_theta_beta_ratio; right_temporal_rel_beta; right_temporal_rel_gamma; posterior_rel_beta; central_rel_beta; central_rel_gamma
8,PairedMean,Accuracy_Max_a,Ridge,184,0.024,0.3224,0.0348,8,left_temporal_abs_gamma; right_temporal_abs_gamma; left_temporal_rel_gamma; prefrontal_abs_beta; right_temporal_abs_beta; central_abs_gamma; occipital_rel_theta; left_temporal_abs_beta
8,PairedMean,Accuracy_Max_a,Lasso,184,0.0005,0.3315,0.0348,8,left_temporal_abs_gamma; right_temporal_abs_gamma; left_temporal_rel_gamma; prefrontal_abs_beta; right_temporal_abs_beta; central_abs_gamma; occipital_rel_theta; left_temporal_abs_beta
8,PairedMean,Accuracy_Max_a,ElasticNet,184,0.0036,0.331,0.0398,8,left_temporal_abs_gamma; right_temporal_abs_gamma; left_temporal_rel_gamma; prefrontal_abs_beta; right_temporal_abs_beta; central_abs_gamma; occipital_rel_theta; left_temporal_abs_beta
8,PairedMean,Accuracy_Max_a,XGBoost,184,-0.0687,0.3367,1.0,8,left_temporal_abs_gamma; right_temporal_abs_gamma; left_temporal_rel_gamma; prefrontal_abs_beta; right_temporal_abs_beta; central_abs_gamma; occipital_rel_theta; left_temporal_abs_beta
8,PairedMean,Accuracy_Max_a,SVR,184,0.0019,0.3272,0.0448,8,left_temporal_abs_gamma; right_temporal_abs_gamma; left_temporal_rel_gamma; prefrontal_abs_beta; right_temporal_abs_beta; central_abs_gamma; occipital_rel_theta; left_temporal_abs_beta
8,PairedMean,Accuracy_Max_v,Ridge,184,0.0117,0.7263,0.0498,8,central_theta_beta_ratio; right_temporal_spectral_entropy; right_temporal_theta_beta_ratio; right_temporal_rel_beta; right_temporal_rel_gamma; posterior_rel_beta; central_rel_beta; central_rel_gamma
8,PairedMean,Accuracy_Max_v,Lasso,184,0.0058,0.7277,0.0746,8,central_theta_beta_ratio; right_temporal_spectral_entropy; right_temporal_theta_beta_ratio; right_temporal_rel_beta; right_temporal_rel_gamma; posterior_rel_beta; central_rel_beta; central_rel_gamma
