"Subject","Detailed_Condition","Score","Trials","Lexical.ACC","Lexical.RT_mean","Lexical.RT_sd","Penalty","Reward","TestDuration","Load_Condition","Speed_Condition","Lexical.Correct_Trials","Lexical.Correct_RT_mean","Lexical.Correct_RT_sd","Lexical.Incorrect_Trials","Lexical.Incorrect_RT_mean","Lexical.Incorrect_RT_sd"
19001,"Load_Accuracy_Max",820,41,1,887.975609756098,340.085686835309,80,20,60,"Load","Accuracy_Max",41,887.975609756098,340.085686835309,0,NA,NA
19001,"Load_Accuracy_Mid",680,46,0.91304347826087,721.5,272.852727879182,40,20,60,"Load","Accuracy_Mid",42,735.857142857143,280.163764951211,4,570.75,104.030043737374
19001,"Load_Neutral",830,45.5,0.956280193236715,726.424637681159,244.702107790458,20,20,60,"Load","Neutral",87,723.436781609195,247.22937758893,4,788.5,164.921193301528
19001,"Load_Speed_Max",845,46,0.934782608695652,704.108695652174,271.234726411634,5,20,60,"Load","Speed_Max",43,696.488372093023,264.509462617037,3,813.333333333333,408.500101999171
19001,"Load_Speed_Mid",780,42,0.952380952380952,853.119047619048,269.645856487768,10,20,60,"Load","Speed_Mid",40,861.35,273.703709351592,2,688.5,50.2045814642449
19001,"NoLoad_Accuracy_Max",880,54,0.962962962962963,551.740740740741,110.950810992161,80,20,60,"NoLoad","Accuracy_Max",52,553.557692307692,112.530155167498,2,504.5,44.5477272147525
19001,"NoLoad_Accuracy_Mid",860,55,0.927272727272727,552.236363636364,136.292708377603,40,20,60,"NoLoad","Accuracy_Mid",51,557.56862745098,140.030318845879,4,484.25,30.1371863318393
19001,"NoLoad_Neutral",870,53.5,0.906468531468531,566.392132867133,153.87277573611,20,20,60,"NoLoad","Neutral",97,559.103092783505,141.81182400574,10,628.3,277.945258399323
19001,"NoLoad_Speed_Max",1045,56,0.946428571428571,525.785714285714,112.150501848788,5,20,60,"NoLoad","Speed_Max",53,529.22641509434,113.962315213514,3,465,48.5695377783236
19001,"NoLoad_Speed_Mid",930,54,0.907407407407407,568.777777777778,146.549839119366,10,20,60,"NoLoad","Speed_Mid",49,579.979591836735,148.990700184597,5,459,39.8559907667593
19002,"Load_Accuracy_Max",680,39,0.974358974358974,946.410256410256,404.239423449749,80,20,60,"Load","Accuracy_Max",38,949.342105263158,409.245269504321,1,835,NA
19002,"Load_Accuracy_Mid",560,37,0.918918918918919,1024.45945945946,545.951188019313,40,20,60,"Load","Accuracy_Mid",34,957.147058823529,343.733611827791,3,1787.33333333333,1570.22811506269
19002,"Load_Neutral",820,42,0.98780487804878,844.647192285876,288.304769551432,20,20,60,"Load","Neutral",83,840.168674698795,289.491978037772,1,1134,NA
19002,"Load_Speed_Max",890,47,0.957446808510638,713.063829787234,157.463371069249,5,20,60,"Load","Speed_Max",45,705.133333333333,149.968724012103,2,891.5,290.620887067671
19002,"Load_Speed_Mid",870,45,0.977777777777778,772.644444444444,227.741495755361,10,20,60,"Load","Speed_Mid",44,769.022727272727,229.059806208545,1,932,NA
19002,"NoLoad_Accuracy_Max",1020,51,1,624.921568627451,123.266839520977,80,20,60,"NoLoad","Accuracy_Max",51,624.921568627451,123.266839520977,0,NA,NA
19002,"NoLoad_Accuracy_Mid",920,49,0.979591836734694,672.204081632653,152.803247619261,40,20,60,"NoLoad","Accuracy_Mid",48,660.979166666667,132.439868263577,1,1211,NA
19002,"NoLoad_Neutral",980,53,0.962264150943396,590.594339622642,124.411237649641,20,20,60,"NoLoad","Neutral",102,593.343137254902,126.814395839117,4,520.5,125.712635270551
19002,"NoLoad_Speed_Max",985,53,0.943396226415094,591.811320754717,117.833823112788,5,20,60,"NoLoad","Speed_Max",50,580.7,108.93796212449,3,777,125.391387264038
19002,"NoLoad_Speed_Mid",1020,51,1,615.921568627451,117.379869336655,10,20,60,"NoLoad","Speed_Mid",51,615.921568627451,117.379869336655,0,NA,NA
19003,"Load_Accuracy_Max",900,45,1,757.066666666667,129.336488558826,80,20,60,"Load","Accuracy_Max",45,757.066666666667,129.336488558826,0,NA,NA
19003,"Load_Accuracy_Mid",1000,50,1,626.76,116.041435245681,40,20,60,"Load","Accuracy_Mid",50,626.76,116.041435245681,0,NA,NA
19003,"Load_Neutral",770,52.5,0.866835994194485,574.750362844703,118.934874160742,20,20,60,"Load","Neutral",91,573.692307692308,111.256929103334,14,580.928571428571,176.34165452575
19003,"Load_Speed_Max",900,55,0.854545454545454,515.018181818182,159.790081149207,5,20,60,"Load","Speed_Max",47,534.468085106383,163.407180282852,8,400.75,63.5267097931481
19003,"Load_Speed_Mid",730,50,0.82,636.16,183.168970725761,10,20,60,"Load","Speed_Mid",41,633.317073170732,190.551625422665,9,649.111111111111,154.010912311794
19003,"NoLoad_Accuracy_Max",420,46,0.891304347826087,738.826086956522,136.925820038577,80,20,60,"NoLoad","Accuracy_Max",41,733.560975609756,137.399790534864,5,782,139.719361578845
19003,"NoLoad_Accuracy_Mid",820,47,0.957446808510638,715.191489361702,131.525933679797,40,20,60,"NoLoad","Accuracy_Mid",45,712.333333333333,125.295831752479,2,779.5,310.419876940894
19003,"NoLoad_Neutral",890,50.5,0.943396226415094,640.511988993711,123.85405362801,20,20,60,"NoLoad","Neutral",95,644.294736842105,139.071149223959,6,528.666666666667,52.7509873525289
19003,"NoLoad_Speed_Max",665,57,0.666666666666667,493.333333333333,113.497849780346,5,20,60,"NoLoad","Speed_Max",38,512.657894736842,117.633713754452,19,454.684210526316,96.2670202160976
19003,"NoLoad_Speed_Mid",910,53,0.905660377358491,578.490566037736,125.975977966728,10,20,60,"NoLoad","Speed_Mid",48,583.770833333333,125.137922136887,5,527.8,136.980655568588
19005,"Load_Accuracy_Max",800,45,0.977777777777778,754.111111111111,218.799536959605,80,20,60,"Load","Accuracy_Max",44,759.75,217.996386251251,1,506,NA
19005,"Load_Accuracy_Mid",900,45,1,761.066666666667,354.139828573147,40,20,60,"Load","Accuracy_Mid",45,761.066666666667,354.139828573147,0,NA,NA
19005,"Load_Neutral",840,46,0.956521739130435,740.608695652174,216.742366959827,20,20,60,"Load","Neutral",88,736.897727272727,213.418860716943,4,822.25,318.855636090483
19005,"Load_Speed_Max",830,54,0.814814814814815,549.425925925926,190.001251421087,5,20,60,"Load","Speed_Max",44,574.75,198.860021471222,10,438,81.9905143565062
19005,"Load_Speed_Mid",790,53,0.830188679245283,570.490566037736,171.26706794692,10,20,60,"Load","Speed_Mid",44,597.113636363636,173.241089694571,9,440.333333333333,79.9171445936352
19005,"NoLoad_Accuracy_Max",700,50,0.94,648.82,240.967157555564,80,20,60,"NoLoad","Accuracy_Max",47,654.68085106383,247.118621963216,3,557,67.7347768875044
19005,"NoLoad_Accuracy_Mid",1020,51,1,625.705882352941,158.329693250211,40,20,60,"NoLoad","Accuracy_Mid",51,625.705882352941,158.329693250211,0,NA,NA
19005,"NoLoad_Neutral",960,51,0.971153846153846,630.716923076923,158.568132258579,20,20,60,"NoLoad","Neutral",99,630.737373737374,158.423585253146,3,618.666666666667,227.939319410525
19005,"NoLoad_Speed_Max",845,56,0.803571428571429,519.982142857143,120.636115664412,5,20,60,"NoLoad","Speed_Max",45,539.022222222222,119.10031846551,11,442.090909090909,96.5571898363395
19005,"NoLoad_Speed_Mid",700,56,0.75,521.928571428571,153.884827906263,10,20,60,"NoLoad","Speed_Mid",42,532.880952380952,154.128106738764,14,489.071428571429,153.998733404239
19006,"Load_Accuracy_Max",620,36,0.972222222222222,1095.52777777778,358.107923565836,80,20,60,"Load","Accuracy_Max",35,1098.91428571429,362.750714227097,1,977,NA
19006,"Load_Accuracy_Mid",780,42,0.976190476190476,843,293.657341379952,40,20,60,"Load","Accuracy_Mid",41,845.634146341463,296.802607476548,1,735,NA
