Subject,SymSpan,OSpan,RotSpan,RAPM,NumberSeries,LetterSets,Antisaccade,VAorient,Squared_Stroop,Squared_Flanker,Squared_Simon,StroopDL,SART,SACT,PVT,GradCPT_rt_cv,GradCPT_dprime,Resamples
19001,25,NA,22,NA,14,24,0.9583333333333334,3.35,51,55,NA,-891,3.755490398950689,0.9523809523809524,-6.225406725664417,NA,NA,NA
19002,18,37,20,14,14,17,0.9583333333333334,3.75,63,55,NA,-620.5,4.3986817014037065,0.9285714285714286,-5.958596943482365,-0.171089132748388,2.97658773795952,NA
19003,22,28,14,14,12,24,0.9722222222222222,3.516666666666667,36,41,77,-449.5,3.929072480148774,0.7619047619047619,-6.015111316828056,-0.165334789480722,2.59947151095617,NA
19004,14,33,7,11,7,11,0.8888888888888888,2.1500000000000004,53,25,77,-798,2.5054158449744532,0.380952380952381,-6.286742696181391,NA,NA,0.25899814471243043
19005,16,20,13,10,9,19,0.9444444444444444,2.3833333333333333,42,40,70,-637.5,3.3937835018429774,0.6666666666666667,-5.934717813222093,-0.131028713631583,3.49089340319398,NA
19006,22,30,18,10,13,21,0.9027777777777778,2.95,30,63,73,-764.5,3.2040874421595977,0.7857142857142857,-5.991170386199845,NA,NA,0.25388198757763975
19007,17,40,16,9,13,16,0.7361111111111112,2.65,34,29,77,-1908,1.9902594113034264,0.6904761904761905,-6.2050963380495965,NA,NA,0.24835858585858583
19010,15,26,13,14,10,16,0.7083333333333333,2.716666666666667,40,20,73,-1301.5,3.5565434708093124,0.3571428571428571,-6.344884198326041,NA,NA,0.3442222222222222
19011,15,29,10,10,10,15,0.9583333333333334,2.216666666666667,31,28,66,-870.5,2.160567397451887,0.380952380952381,-6.261355360961823,-0.189578349315969,2.61115801792139,0.33407335907335906
19012,21,36,15,11,7,18,0.8888888888888888,2.75,22,48,82,-635,2.3904618210534387,0.3571428571428571,-6.372523112814907,-0.121274569694533,2.94319210648465,0.28548821548821546
19013,22,39,12,14,10,15,NA,2.966666666666667,34,26,79,-1608,3.168339199069679,0.5952380952380952,-6.055612366931734,NA,NA,NA
19015,14,30,14,9,14,16,0.7361111111111112,2.283333333333333,29,33,73,-646,1.3510453005098442,0.5714285714285715,-6.347639366005032,NA,NA,0.2413594470046083
19016,23,38,18,8,14,19,0.9305555555555556,2.9,51,66,68,-1001.5,3.0720304510499594,0.5952380952380952,NA,-0.249894324322292,0.874165172010116,0.3228813559322034
19017,13,21,10,13,10,19,0.8333333333333333,2.583333333333333,40,53,81,-902.5,2.936501417359904,0.7142857142857143,-6.302985209039605,-0.15063399931099,2.58791789382874,0.17580645161290323
19018,20,36,14,13,14,15,0.8472222222222222,2.6833333333333336,30,39,72,-884.5,3.2347904200162945,0.8809523809523809,-5.960084444448146,-0.137435097370589,3.36149704169447,0.13868312757201648
19020,15,36,10,12,9,21,0.875,NA,46,35,73,-749,2.8281765188990127,0.7857142857142857,-6.095374010498493,-0.196057858054827,1.62660663994285,0.36154306220095694
19021,12,35,12,8,11,19,0.5277777777777779,3.116666666666667,27,26,60,-955.5,0.968864699368038,0.42857142857142855,-6.424405846500164,-0.196944398502946,2.23474268684212,0.2865079365079365
19023,6,31,20,11,7,15,0.7222222222222222,2.466666666666667,47,39,61,-806.5,3.3668474111259328,0.8095238095238095,-6.0594569182613505,-0.196960546646736,1.67550423081054,0.2543675502579612
19024,7,31,10,12,11,18,0.8611111111111112,2.1666666666666665,33,28,54,-1212.5,2.321645354852949,0.8571428571428571,-6.366928532943296,-0.197632633661186,1.77952143092076,0.3234861845972957
19025,13,NA,9,12,15,18,0.7916666666666667,2.4833333333333334,43,28,68,-1157.5,3.498726486382745,0.6904761904761905,-6.027589814969317,NA,NA,0.11027568922305764
19026,21,39,16,11,13,22,0.9583333333333334,2.583333333333333,56,73,80,-1615,3.009592489686801,0.8095238095238095,-6.413950639550449,-0.251670517803098,0.714482015891558,NA
19027,22,NA,23,11,NA,16,0.875,2.716666666666667,54,66,83,-702,1.8865504982435528,0.8095238095238095,-6.261355360961823,-0.317986661561682,2.36995319060784,0.13157549521185885
19028,27,39,14,13,11,20,0.9583333333333334,3.25,34,63,64,-817,4.3986817014037065,0.7619047619047619,-6.145411124475097,-0.226739700597415,2.75770370994378,0.06900726392251816
19029,16,27,10,12,7,10,0.8888888888888888,2.4333333333333336,20,32,71,-991,3.009592489686801,0.4523809523809525,-6.0621738933268965,-0.26244490874284,1.25308065430652,0.12847490347490348
19030,13,23,10,9,10,18,0.8888888888888888,2.6666666666666665,20,39,63,-1146.5,NA,0.5714285714285714,-6.381477550657225,-0.227974300890222,1.97565467734882,NA
19031,25,41,19,12,13,14,0.6944444444444444,2.6,50,58,58,-722,1.7478035758230623,0.7619047619047619,NA,-0.256527240803301,1.2292864560901,0.11351766513056837
19032,17,32,20,NA,12,19,NA,NA,46,47,80,-612.5,1.3841515749079052,0.9047619047619048,-5.887214525734183,-0.159794888054045,2.96601058496829,0.216991341991342
19033,20,40,22,16,12,23,0.9444444444444444,2.25,54,52,66,-1375,0.9463011850168142,0.47619047619047616,-6.1224928095143865,-0.149492808448586,2.6230341387156,0.11036036036036036
19034,20,41,18,12,9,20,0.8333333333333333,3.6,47,52,79,-543,4.12801940829015,0.42857142857142855,-6.588140159427347,-0.320938154984673,1.92291231605657,0.07315340909090909
19035,18,32,6,11,12,16,0.8472222222222221,2.45,34,34,67,-1009.5,1.704126904324223,0.7142857142857143,-6.492456261814953,-0.27809517041119,2.67260259450865,0.3447204968944099
19036,21,27,16,15,14,16,0.9444444444444444,3.516666666666667,52,49,78,-648.5,4.12801940829015,0.9761904761904762,-5.927814520031526,-0.213994514155594,2.2377715996908,0.04232804232804232
19037,18,24,13,10,8,16,0.9305555555555556,1.5499999999999998,46,46,76,-1020.5,1.0369637039399424,NA,-6.134636816769185,-0.229636153242577,1.53373354433286,0.2002801120448179
19038,21,39,17,13,11,15,0.7916666666666667,2.216666666666667,43,28,65,-1040.5,2.589231379652643,0.5238095238095238,-6.273550634055642,-0.182032747543015,1.44368348919928,0.22826086956521735
19039,7,30,8,9,9,15,0.5972222222222222,2.0666666666666664,31,37,64,-772.5,2.5808325583760325,0.7142857142857143,-6.108803039525215,-0.103904037053699,2.48561161223401,0.2692307692307692
19040,25,36,19,13,10,20,0.9166666666666669,2,35,32,63,-590,2.8841121127432796,0.40476190476190466,-6.147246548667324,-0.209902135332503,1.78097047632458,0.2260544217687075
19041,13,37,19,10,9,18,0.875,3.45,53,53,89,-925,2.8281765188990127,0.7619047619047619,-5.942635319675591,-0.202089792049572,2.68555774987329,0.11074541896459704
19043,6,12,4,10,8,13,0.5694444444444444,2.6000000000000005,31,19,44,-782,1.5989325311009452,0.5476190476190477,-6.218140314334559,-0.222400755389904,1.26564086917416,0.2752613240418118
19044,25,38,19,12,13,20,0.9305555555555556,2.9833333333333334,69,81,79,-834,NA,0.7142857142857142,-6.173230393968214,-0.225486821540219,1.85008611208568,0.18739809973576207
19045,20,38,23,12,7,16,0.8333333333333333,2.7666666666666666,31,41,59,-649,2.0914981771817795,0.7619047619047619,-6.037188791655579,-0.201085109516127,2.19933005273569,0.1756440281030445
19046,24,36,15,13,8,15,0.9166666666666669,2.4833333333333334,52,71,64,-1120,1.840268704603634,0.8809523809523809,-6.063785208687608,-0.191333994354187,1.93311900707119,0.20479910714285715
19048,21,35,20,11,7,20,0.8611111111111112,2.05,32,38,61,-1206.5,2.687839438893783,0.6904761904761905,-6.110358077048392,-0.191815618067737,0.681561496580353,0.03076923076923077
19050,20,41,17,9,12,11,0.7083333333333333,2.416666666666667,42,59,62,-606.5,0.4631808289672197,0.5238095238095238,-6.319611407432176,NA,NA,NA
19051,20,34,16,16,10,19,0.8888888888888888,2.6666666666666665,35,35,70,-1095.5,3.3937835018429774,0.7857142857142858,-6.298100470457554,-0.168679274813224,1.85328081109458,0.1325187969924812
19052,20,34,13,14,14,20,0.8472222222222222,3.15,38,57,66,-701,2.1781777496101062,0.8809523809523809,-6.1369553895676585,NA,NA,NA
19053,16,NA,14,9,10,19,0.5972222222222221,1.6333333333333333,46,37,84,-665,3.2040874421595977,0.8095238095238095,-6.179572899485096,NA,NA,NA
19054,24,36,17,13,10,18,0.9027777777777778,3.1,43,46,82,-689.5,1.840268704603634,0.5238095238095238,-6.188850633363332,-0.171398916522654,2.78025772049033,0.06349206349206349
19055,17,32,13,9,9,14,0.9027777777777778,2.2666666666666666,41,29,74,-631,4.12801940829015,0.4047619047619048,-6.067190257636118,-0.245606456873745,2.5627029868385,0.2873244641537324
19057,16,27,20,12,9,22,0.8611111111111112,1.9666666666666668,54,29,57,-757,2.7958101897302172,0.5476190476190477,-6.179188153190932,NA,NA,0.220253164556962
19058,15,NA,12,12,13,12,0.9305555555555556,2.4333333333333336,38,34,64,-1669.5,2.4269669963003326,0.7857142857142857,-5.841264387025074,NA,NA,NA
19059,20,39,16,13,14,20,0.9583333333333334,2.4499999999999997,41,62,81,-458.5,1.2189559619609942,0.6428571428571429,-5.945794510274794,NA,NA,0.10554371002132196
19060,16,NA,13,10,11,9,0.8055555555555556,1.2666666666666666,22,27,59,-851,3.929072480148774,0.7142857142857142,-5.8615998931608795,NA,NA,0.1930426716141002
19061,23,39,13,11,9,21,0.7638888888888888,2.466666666666667,37,52,72,-548,0.7414746932955643,0.5238095238095238,-6.541442200349903,NA,NA,NA
19062,21,34,15,17,14,20,0.9305555555555556,3.2333333333333334,65,51,82,-590.5,3.0676409139972947,0.8571428571428571,-6.092763253346849,NA,NA,0.1623376623376623
19064,8,35,4,3,2,12,NA,0.41666666666666663,NA,4,52,-682,1.0729059641026826,NA,-6.380461462508839,-0.168139044566913,0.12295215799333,0.3787037037037037
19066,18,40,15,15,8,18,0.6666666666666667,3.533333333333333,47,35,61,-1075.5,2.9097375611779106,0.6904761904761905,-6.129631014490986,-0.262985026378275,0.977411391688306,0.12582972582972585
19067,27,28,19,13,10,22,0.9305555555555556,2.6666666666666665,28,43,89,-759.5,1.7946014146865594,0.7857142857142858,-6.222109305653357,-0.256216004152866,3.05274745789505,NA
19068,20,32,NA,17,9,20,0.7638888888888888,2.9833333333333334,51,48,72,-570.5,3.498726486382745,0.6428571428571428,-6.28312906370713,-0.15388259200548501,2.9672416866285,0.05434782608695652
19069,23,37,NA,14,12,25,0.5416666666666667,2.1,49,36,69,-765.5,2.4740571389371993,0.7142857142857142,-6.209021091553408,-0.230956067241997,1.42576810930894,0.23567997043606795
19070,23,35,15,15,15,15,0.6527777777777778,1.2666666666666666,38,46,51,-1806.5,1.7922765458676415,0.33333333333333337,NA,-0.196343264709942,1.21821091175751,NA
19073,23,37,18,15,8,18,0.9166666666666666,3.65,56,67,74,-546.5,2.3175077167666687,0.4523809523809524,-6.479058098318407,-0.222632967137134,1.8131207048592,NA
19074,22,31,14,16,12,22,0.902777777777778,3.666666666666667,41,47,79,-581.5,3.929072480148774,0.8095238095238095,-6.147857608875767,-0.247719362844209,2.71773410933263,NA
19075,17,19,7,9,7,19,1,2.05,9,3,64,-802.5,1.3030531417738518,0.8333333333333334,-5.985712743034462,-0.221417085424392,2.55042315865479,0.19230769230769232
19077,21,30,16,6,10,10,0.7083333333333333,2.7333333333333334,42,44,79,-910,1.2989702309928297,0.6428571428571429,-6.355297147133313,NA,NA,NA
19079,16,36,12,7,8,14,0.5277777777777778,1.7833333333333334,27,21,68,-1494,0.7530719883970838,0.6666666666666667,-6.2286424873859945,-0.303592000518762,1.10682464198574,0.203125
