parameter,feature,pearson_r,spearman_rho,p_value,n,fdr_q,fdr_significant
a,frontal_aperiodic_exponent,-0.06896670261343668,-0.07035503072566508,0.35224542184773316,184,0.6541700691457902,False
a,frontal_aperiodic_offset,0.04673693385146849,0.0714646221417426,0.5286981020517901,184,0.6930693049893603,False
a,frontal_sample_entropy,0.09907084670554714,0.05016277860183776,0.18089701009339254,184,0.47033222624282056,False
a,frontal_perm_entropy,0.062097837268163744,0.024488066113155207,0.4023653831141056,184,0.6789031344102697,False
a,posterior_aperiodic_exponent,-0.13633129499161983,-0.08497428290728361,0.06499240949005146,184,0.26652819992575943,False
a,posterior_aperiodic_offset,0.008431568334805992,0.07005066363583827,0.9095596785938495,184,0.9529262404818951,False
a,posterior_sample_entropy,0.014418789847572326,-0.018344859471017702,0.8459697997920275,184,0.942652062625402,False
a,posterior_perm_entropy,-0.004381772049113542,-0.04510797326192907,0.9529262404818951,184,0.9529262404818951,False
a,central_aperiodic_exponent,-0.14386437443163008,-0.13799002138275124,0.051376728040499746,184,0.2504615491974363,False
a,central_aperiodic_offset,0.03063364774307848,0.042432239795033806,0.6797530550102117,184,0.7953072325554953,False
a,central_sample_entropy,0.12345093942457701,0.12338618019302267,0.09500831248127352,184,0.2909008647312447,False
a,central_perm_entropy,0.08798947984069778,0.045452794205467044,0.2349442543332494,184,0.5636599471887818,False
a,left_temporal_aperiodic_exponent,-0.2016546958726278,-0.12341314942883011,0.006051207484109654,184,0.07048012077071972,False
a,left_temporal_aperiodic_offset,-0.052759872821667386,0.0017664849453872973,0.4769056717039438,184,0.6888637480168077,False
a,left_temporal_sample_entropy,0.22807882490171394,0.11506231819845505,0.0018464781883013343,184,0.07048012077071972,False
a,left_temporal_perm_entropy,0.15200488503403084,0.0643351120186473,0.03941497330246406,184,0.22812780017199372,False
a,right_temporal_aperiodic_exponent,-0.1974159969221107,-0.1628633622931556,0.007228730335458432,184,0.07048012077071972,False
a,right_temporal_aperiodic_offset,-0.045036999538173736,-0.027437344686097355,0.5438134310436319,184,0.6930693049893603,False
a,right_temporal_sample_entropy,0.1731171625471967,0.12071815222207238,0.018771173283249076,184,0.1464151516093428,False
a,right_temporal_perm_entropy,0.1342806745879811,0.08678700082834082,0.06917149317508335,184,0.26652819992575943,False
a,occipital_aperiodic_exponent,-0.15085586084992483,-0.0898769047022789,0.04094601541548605,184,0.22812780017199372,False
