cc,side,variable,loading
CC1,EEG,frontal_aperiodic_exponent,-0.11406241973402756
CC1,EEG,frontal_aperiodic_offset,0.09009020972695687
CC1,EEG,frontal_sample_entropy,0.11651592892785502
CC1,EEG,frontal_perm_entropy,0.07615920729721647
CC1,EEG,posterior_aperiodic_exponent,-0.19791073547127427
CC1,EEG,posterior_aperiodic_offset,0.06864993660661263
CC1,EEG,posterior_sample_entropy,-0.017373115141122802
CC1,EEG,posterior_perm_entropy,-0.04561276798565863
CC1,EEG,central_aperiodic_exponent,-0.19145289307116342
CC1,EEG,central_aperiodic_offset,0.08168950542226318
CC1,EEG,central_sample_entropy,0.1316707383766087
CC1,EEG,central_perm_entropy,0.09867189809640466
CC1,EEG,left_temporal_aperiodic_exponent,-0.2933207739225188
CC1,EEG,left_temporal_aperiodic_offset,-0.07592313884579577
CC1,EEG,left_temporal_sample_entropy,0.32795158045814904
CC1,EEG,left_temporal_perm_entropy,0.2302879917089751
CC1,EEG,right_temporal_aperiodic_exponent,-0.2811016811015995
CC1,EEG,right_temporal_aperiodic_offset,-0.04073764905945956
CC1,EEG,right_temporal_sample_entropy,0.21402358189510437
CC1,EEG,right_temporal_perm_entropy,0.20163045700259208
CC1,EEG,occipital_aperiodic_exponent,-0.26373719188908085
CC1,EEG,occipital_aperiodic_offset,-0.06122545275209278
CC1,EEG,occipital_sample_entropy,0.11385909623682282
CC1,EEG,occipital_perm_entropy,0.061933720770706455
CC1,EEG,prefrontal_aperiodic_exponent,-0.08866520711816626
CC1,EEG,prefrontal_aperiodic_offset,0.12859024594309176
CC1,EEG,prefrontal_sample_entropy,0.007414359488212419
CC1,EEG,prefrontal_perm_entropy,0.058705149602763726
CC1,EEG,global_delta,0.22734740602946005
CC1,EEG,global_theta,0.24640042348533012
CC1,EEG,global_alpha,0.12668791374982993
CC1,EEG,global_beta,0.32653442522935755
CC1,EEG,IAF,0.060820053534875115
CC1,EEG,frontal_theta_beta_ratio,0.06581229488278945
CC1,EEG,temporal_alpha_asymmetry,-0.034073307198079036
CC1,EEG,connectivity_delta,-0.009726751685521895
CC1,EEG,connectivity_theta,0.14314311928456028
CC1,EEG,connectivity_alpha,-0.20625042942488855
CC1,EEG,connectivity_beta,0.1272200858573966
CC1,DDM,a,0.9509047774690714
CC1,DDM,v,-0.21868454259984438
CC1,DDM,t0,0.14470167830420647
CC2,EEG,frontal_aperiodic_exponent,0.08510530154960733
CC2,EEG,frontal_aperiodic_offset,0.0804160423984794
CC2,EEG,frontal_sample_entropy,-0.17890868488618705
CC2,EEG,frontal_perm_entropy,-0.29368496562604796
CC2,EEG,posterior_aperiodic_exponent,0.01853638367095883
CC2,EEG,posterior_aperiodic_offset,0.0628275763178237
CC2,EEG,posterior_sample_entropy,-0.05478342754581964
CC2,EEG,posterior_perm_entropy,-0.20666659453564434
CC2,EEG,central_aperiodic_exponent,0.23447331640699628
CC2,EEG,central_aperiodic_offset,0.1688470318625924
CC2,EEG,central_sample_entropy,-0.24172545586068211
CC2,EEG,central_perm_entropy,-0.3277305521285936
CC2,EEG,left_temporal_aperiodic_exponent,0.2863386350107086
CC2,EEG,left_temporal_aperiodic_offset,0.19993444947519737
CC2,EEG,left_temporal_sample_entropy,-0.2687645145031554
CC2,EEG,left_temporal_perm_entropy,-0.2810691894590134
CC2,EEG,right_temporal_aperiodic_exponent,0.3250763630465909
CC2,EEG,right_temporal_aperiodic_offset,0.2711815028378915
CC2,EEG,right_temporal_sample_entropy,-0.35050725853345804
CC2,EEG,right_temporal_perm_entropy,-0.2778415295077829
CC2,EEG,occipital_aperiodic_exponent,-0.04059949714914454
CC2,EEG,occipital_aperiodic_offset,0.00796894428709563
CC2,EEG,occipital_sample_entropy,-0.04715940869326463
CC2,EEG,occipital_perm_entropy,-0.2142700963034407
CC2,EEG,prefrontal_aperiodic_exponent,0.09009932211661388
CC2,EEG,prefrontal_aperiodic_offset,0.08669306805714502
CC2,EEG,prefrontal_sample_entropy,-0.18439612812484385
CC2,EEG,prefrontal_perm_entropy,-0.29602226729938425
CC2,EEG,global_delta,-0.009084081611446687
CC2,EEG,global_theta,0.21852116383426923
CC2,EEG,global_alpha,0.1904461817131287
CC2,EEG,global_beta,0.01224237207323268
CC2,EEG,IAF,-0.045040871659173275
CC2,EEG,frontal_theta_beta_ratio,0.20599585073120746
CC2,EEG,temporal_alpha_asymmetry,-0.0831857009841709
CC2,EEG,connectivity_delta,0.3795617579004992
CC2,EEG,connectivity_theta,0.033205930570123145
CC2,EEG,connectivity_alpha,0.13441426885894597
CC2,EEG,connectivity_beta,0.05555231702462512
CC2,DDM,a,-0.22099622094943427
CC2,DDM,v,0.7078744915512757
CC2,DDM,t0,0.48472217568130993
CC3,EEG,frontal_aperiodic_exponent,0.04488171389838701
CC3,EEG,frontal_aperiodic_offset,0.06343921598265459
CC3,EEG,frontal_sample_entropy,0.14992666178491193
CC3,EEG,frontal_perm_entropy,-0.17102130981932936
CC3,EEG,posterior_aperiodic_exponent,-0.2594973041377705
CC3,EEG,posterior_aperiodic_offset,-0.22894144415564247
CC3,EEG,posterior_sample_entropy,0.20228167888122167
CC3,EEG,posterior_perm_entropy,-0.05281862085793626
CC3,EEG,central_aperiodic_exponent,-0.11343819685229983
CC3,EEG,central_aperiodic_offset,0.043603927860192605
CC3,EEG,central_sample_entropy,0.25366071172206933
CC3,EEG,central_perm_entropy,-0.0631382379337123
CC3,EEG,left_temporal_aperiodic_exponent,-0.07307025620697609
CC3,EEG,left_temporal_aperiodic_offset,0.12181237610196902
CC3,EEG,left_temporal_sample_entropy,0.1617434135551983
CC3,EEG,left_temporal_perm_entropy,-0.10418416262975734
CC3,EEG,right_temporal_aperiodic_exponent,-0.06055148746018235
CC3,EEG,right_temporal_aperiodic_offset,0.09143221270471476
CC3,EEG,right_temporal_sample_entropy,0.15258936520955063
CC3,EEG,right_temporal_perm_entropy,-0.12132046845730111
CC3,EEG,occipital_aperiodic_exponent,-0.09708080170686642
CC3,EEG,occipital_aperiodic_offset,-0.016607505448828684
CC3,EEG,occipital_sample_entropy,0.0941137069005203
CC3,EEG,occipital_perm_entropy,-0.0134597023442415
CC3,EEG,prefrontal_aperiodic_exponent,0.05264573088843749
CC3,EEG,prefrontal_aperiodic_offset,0.10660658229659865
CC3,EEG,prefrontal_sample_entropy,0.05307239296104786
CC3,EEG,prefrontal_perm_entropy,-0.21697407505344915
CC3,EEG,global_delta,-0.04914855767535893
CC3,EEG,global_theta,-0.004104919341335618
CC3,EEG,global_alpha,0.2022872255423154
CC3,EEG,global_beta,0.27560344207045445
CC3,EEG,IAF,0.1777336756465255
CC3,EEG,frontal_theta_beta_ratio,-0.20552511297630302
CC3,EEG,temporal_alpha_asymmetry,0.04532091969977472
CC3,EEG,connectivity_delta,0.0693495222005525
CC3,EEG,connectivity_theta,-0.029165484684951025
CC3,EEG,connectivity_alpha,0.009634747587079983
CC3,EEG,connectivity_beta,0.2495043979657487
CC3,DDM,a,0.21665819742757206
CC3,DDM,v,-0.6716329168816249
CC3,DDM,t0,0.8626156946744731
