composite,ddm_param,pearson_r,pearson_p,spearman_rho,n
WMC,a,-0.24956158685763807,5.402104278858332e-05,-0.22721542459896407,256
WMC,v,0.16809295703815041,0.007027636910663375,0.15561143383588633,256
WMC,t0,0.047994504331968696,0.44451287286579066,0.06839387058742054,256
gF,a,-0.2758094695728626,7.516021937610653e-06,-0.22709173961900975,256
gF,v,0.37857258716233133,3.7973511889484576e-10,0.35681987449158875,256
gF,t0,-0.15439373181993635,0.013396277722399923,-0.09814217597703345,256
AC,a,-0.31302845216458264,3.170493075280053e-07,-0.2930440318150606,256
AC,v,0.43876748895331236,1.802852930377717e-13,0.4514255264362554,256
AC,t0,-0.11871881050319352,0.05783864227978953,-0.028996910048065917,256
SuS_AC,a,-0.13477269594911073,0.031110651280968914,-0.0770685511558709,256
SuS_AC,v,0.3415831852239565,2.04473090187816e-08,0.33075360494392303,256
SuS_AC,t0,0.05894717387603241,0.34754786381535263,0.08584844930189973,256
